# Male
140	129
140	143
140	146
140	152
140	52
140	79
141	80
141	80
141	85
141	86
141	94
142	131
142	135
142	69
142	71
142	91
143	149
143	88
144	108
144	145
144	80
144	88
145	108
145	117
145	130
145	142
145	160
145	78
145	99
146	138
146	70
146	85
147	142
147	84
147	92
148	141
148	155
148	60
149	100
149	61
149	66
150	74
150	95
151	114
151	154
151	62
151	82
152	103
152	132
152	141
152	146
152	98
153	104
153	121
153	70
154	100
154	105
154	111
154	112
154	145
154	54
154	81
155	51
155	57
156	137
156	74
157	110
157	56
157	74
158	127
158	95
158	96
159	104
159	109
159	120
159	124
159	140
159	145
159	154
160	139
160	156
161	103
161	115
161	118
161	155
161	72
161	89
162	130
162	157
162	58
162	97
163	110
163	123
163	131
163	137
164	75
165	104
165	105
165	143
165	155
165	62
165	68
165	80
166	107
166	160
166	61
166	70
167	151
167	64
168	123
168	148
168	158
168	160
168	50
169	110
169	136
169	141
170	115
170	81
170	95
171	141
171	147
171	147
172	105
172	139
172	75
172	92
173	111
173	131
173	139
174	107
174	138
174	54
174	90
174	90
174	95
174	96
175	135
176	109
176	77
176	87
177	117
177	117
177	61
178	117
178	127
178	138
178	140
178	142
178	160
178	52
178	83
178	85
179	110
179	123
179	127
179	130
179	152
179	56
179	56
179	83
179	93
180	149
180	73
180	75
181	105
181	111
181	139
181	141
181	154
181	51
181	78
182	104
182	108
182	151
182	50
182	70
182	73
182	98
183	105
183	131
183	138
183	147
183	153
184	153
184	157
184	57
184	83
185	139
185	60
185	76
186	118
186	68
187	122
187	136
187	138
187	140
187	62
187	80
187	96
188	100
188	114
188	123
188	141
188	54
188	57
188	65
188	81
188	99
189	104
189	87
190	135
190	50
190	80
190	83
190	95
191	146
191	62
191	62
191	79
191	96
192	101
193	130
193	151
193	54
193	65
194	106
194	108
194	115
195	126
195	153
195	69
195	81
195	98
196	116
196	69
197	119
197	125
197	149
197	88
198	109
198	136
198	50
199	156
199	99
